Altium Designer Pick and Place Locations
D:\Work\GitHub\Airzai-PCB-Design\AIRZAI_MBD_REVB2 (1-4-2019 2-06-16 AM)\AIRZAI_MBD_REVB2 (5-8-2019)\Project Outputs for AIRZAI_MBD_REVB2\Pick Place for AIRZAI BASE BOARD REV B.csv

========================================================================================================================
File Design Information:

Date:       09/05/19
Time:       19:41
Revision:   31f7474f11f4d9b169c32f9f5136dc6c920c4e92
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"TP14","WIREPT","BottomLayer","TP_0.9MM","27.2542","22.9154","90","","27.2542","22.9154","27.2542","22.9154","Fitted"
"TP13","WIREPT","BottomLayer","TP_0.9MM","27.2004","24.4094","90","","27.2004","24.4094","27.2004","24.4094","Fitted"
"R41","RC0603JR-070RL","TopLayer","0603","61.3156","19.6596","270","RES, 0, 5%, 0.1 W, 0603","61.3156","19.6596","61.3156","20.4596","Fitted"
"R40","RC0603JR-070RL","TopLayer","0603","59.2582","19.6596","270","RES, 0, 5%, 0.1 W, 0603","59.2582","19.6596","59.2582","20.4596","Fitted"
"R39","RC0603JR-070RL","TopLayer","0603","57.1246","19.6596","270","RES, 0, 5%, 0.1 W, 0603","57.1246","19.6596","57.1246","20.4596","Fitted"
"R33","RC0603JR-070RL","TopLayer","0603","20.1930","27.1624","360","RES, 0, 5%, 0.1 W, 0603","20.1930","27.1624","19.3930","27.1624","Fitted"
"R30","RC0603JR-070RL","TopLayer","0603","20.1930","29.1846","360","RES, 0, 5%, 0.1 W, 0603","20.1930","29.1846","19.3930","29.1846","Fitted"
"TP61","TESTPOINT","BottomLayer","TP_0.9MM","56.5238","12.7048","90","","56.5238","12.7048","56.5238","12.7048","Fitted"
"TP60","TESTPOINT","BottomLayer","TP_0.9MM","56.4896","14.3764","90","","56.4896","14.3764","56.4896","14.3764","Fitted"
"U4","Apple CP","TopLayer","XDFN-8P-Apple","56.1856","13.4318","0","Auth 3.0 CP","56.1856","13.4318","54.7356","14.1818","Fitted"
