Altium Designer Pick and Place Locations
D:\Work\Projects\AIRZAI\AIRZAI_LED_SENSE_FLEX\Project Outputs for AIRZAI_LED_SENSE_FLEX_REVA\Pick Place for AIRZAI_LED_SENSE_FLEX_REVA.txt

========================================================================================================================
File Design Information:

Date:       09/02/19
Time:       00:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                    Center-X(mm) Center-Y(mm) Rotation Description                                                     Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
TP1        "Test Point"               TopLayer    TP_0.9MM                     4.7543       13.5553      90       ""                                                              4.7543    13.5553   4.7543    13.5553   
TP16       "Test Point"               TopLayer    TP_0.9MM                     17.5908      8.8696       90       ""                                                              17.5908   8.8696    17.5908   8.8696    
TP15       "Test Point"               TopLayer    TP_0.9MM                     17.5936      10.8000      90       ""                                                              17.5936   10.8000   17.5936   10.8000   
TP14       "Test Point"               TopLayer    TP_0.9MM                     15.8128      10.0469      90       ""                                                              15.8128   10.0469   15.8128   10.0469   
TP13       "Test Point"               TopLayer    TP_0.9MM                     28.3764      16.1500      90       ""                                                              28.3764   16.1500   28.3764   16.1500   
TP12       "Test Point"               TopLayer    TP_0.9MM                     5.5926       2.2268       90       ""                                                              5.5926    2.2268    5.5926    2.2268    
TP11       "Test Point"               TopLayer    TP_0.9MM                     7.9896       4.3992       90       ""                                                              7.9896    4.3992    7.9896    4.3992    
TP10       "Test Point"               TopLayer    TP_0.9MM                     30.3068      1.7951       90       ""                                                              30.3068   1.7951    30.3068   1.7951    
TP9        "Test Point"               TopLayer    TP_0.9MM                     36.2961      64.0067      90       ""                                                              36.2961   64.0067   36.2961   64.0067   
TP8        "Test Point"               TopLayer    TP_0.9MM                     1.6048       11.5929      90       ""                                                              1.6048    11.5929   1.6048    11.5929   
TP7        "Test Point"               TopLayer    TP_0.9MM                     6.8974       6.8630       90       ""                                                              6.8974    6.8630    6.8974    6.8630    
TP6        "Test Point"               TopLayer    TP_0.9MM                     7.4054       11.1048      90       ""                                                              7.4054    11.1048   7.4054    11.1048   
TP4        "Test Point"               TopLayer    TP_0.9MM                     4.0432       11.5929      90       ""                                                              4.0432    11.5929   4.0432    11.5929   
TP3        "Test Point"               TopLayer    TP_0.9MM                     27.8176      12.8441      90       ""                                                              27.8176   12.8441   27.8176   12.8441   
TP2        "Test Point"               TopLayer    TP_0.9MM                     6.5832       14.9976      90       ""                                                              6.5832    14.9976   6.5832    14.9976   
CRX2       "CONTACT POINT 3"          BottomLayer CONTACT_POINT_0.7CM          38.0738      86.7327      90       ""                                                              38.0738   86.7327   38.0738   86.7327   
CRX1       "CONTACT POINT 2"          TopLayer    CONTACT_POINT_1CM__SQ        18.7431      38.6065      60       ""                                                              19.3842   39.7519   18.7431   38.6065   
CRX0       "CONTACT POINT 1"          TopLayer    CONTACT_POINT_1CM__SQ        56.0163      40.7189      300      ""                                                              56.6878   39.5909   56.0163   40.7189   
C4         "CAP 100pF 25V 0402(1005)" BottomLayer 0402-A                       38.7393      65.1648      180      "CAP 100pF 25V ±2% 0402 (1005 Metric) Thickness 0.6mm SMD"      38.7393   65.1648   39.2393   65.1648   
C2         "CAP 100pF 25V 0402(1005)" BottomLayer 0402-A                       35.8354      64.0681      0        "CAP 100pF 25V ±2% 0402 (1005 Metric) Thickness 0.6mm SMD"      35.8354   64.0681   35.3354   64.0681   
U7         VL53L0CXV0DH/1             TopLayer    VL53L0X                      37.9904      106.7153     270      ""                                                              37.9904   106.7352  37.1904   105.0952  
U3         LP55231SQE/NOPB            BottomLayer WQFN-24-LP55231SQE/NOPB      14.3128      7.3656       360      Imported                                                        14.3128   7.3656    12.4128   6.1157    
U1         IQS213A-80000008-MSR       BottomLayer MSOP-10-IQS213A-80000008-MSR 41.4571      62.7305      360      "Capacitive Touch Sensors 3 Ch Capacitive Touch/Swipe Function" 41.4571   62.7305   39.2571   61.7305   
R11        "Jumper 0402(1005)"        BottomLayer 0402                         10.0752      9.9405       360      "Jumper 0402 (1005 Metric)"                                     10.0752   9.9405    9.5752    9.9405    
R10        "Jumper 0402(1005)"        BottomLayer 0402                         10.0752      8.7975       360      "Jumper 0402 (1005 Metric)"                                     10.0752   8.7975    9.5752    8.7975    
R7         0R                         BottomLayer 0402                         30.8627      12.6538      360      "Resistor, ±1%, 0.063W"                                         30.8627   12.6538   30.3627   12.6538   
R6         0R                         BottomLayer 0402                         28.2183      12.6751      180      "Resistor, ±1%, 0.063W"                                         28.2183   12.6751   28.7183   12.6751   
R5         "43R2 1% 0402(1005)"       BottomLayer 0402-A                       35.8104      62.1656      0        "43R2 0.063W 1% 0402 (1005 Metric)  SMD"                        35.8104   62.1656   35.3104   62.1656   
R4         470R                       BottomLayer 0402-A                       45.8179      62.7056      270      "Resistor, ±1%, 0.063W"                                         45.8179   62.7056   45.8179   63.2056   
R2         470R                       BottomLayer 0402-A                       35.8135      60.7301      180      "Resistor, ±1%, 0.063W"                                         35.8135   60.7301   36.3135   60.7301   
R1         470R                       BottomLayer 0402-A                       39.3441      60.2475      0        "Resistor, ±1%, 0.063W"                                         39.3441   60.2475   38.8441   60.2475   
D6         WHITE                      BottomLayer LED1206_LTW-C230DS           56.6878      39.5911      300      ""                                                              56.6878   39.5909   57.5753   38.0539   
