Altium Designer Pick and Place Locations
D:\Work\GitHub\Airzai-PCB-Design\Airzai Flex Board\ALTIUM_DATA\AIRZAI_LED_SENSE_FLEX_REVB\Project Outputs for AIRZAI_LED_SENSE_FLEX_REVB\Pick Place for AIRZAI_LED_SENSE_FLEX_REVB.csv

========================================================================================================================
File Design Information:

Date:       17/05/19
Time:       14:28
Revision:   38bd5df8d6456312cdb0dd4f6f620fe4b90441e7
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R15","DNP 0402(1005)","BottomLayer","0402","-20.0884","32.6390","90","DNP","-20.0884","32.6390","-20.0884","32.1390"
"R14","Jumper 0402(1005)","BottomLayer","0402","-21.3046","32.6390","270","Jumper 0402 (1005 Metric)","-21.3046","32.6390","-21.3046","33.1390"
"R13","10k 0402(1005)","BottomLayer","0402","11.5062","109.7534","360","10k 0.063W 1% 0402 (1005 Metric)  SMD","11.5062","109.7534","11.0062","109.7534"
"U2","AT42QT1010-TSHR","BottomLayer","SOT-23-6-AT42QT1010-TSHR","-12.8600","48.1330","330","One-channel Touch Sensor IC with Reset Timer, -40° to +85° C, 6-pin SOT23","-12.8600","48.1330","-14.3743","47.9103"
"R12","DNP 0402(1005)","BottomLayer","0402","-15.5702","44.0436","240","DNP","-15.5702","44.0436","-15.3202","44.4766"
"R9","DNP 0402(1005)","BottomLayer","0402","-14.1100","39.9542","60","DNP","-14.1100","39.9542","-14.3600","39.5212"
"R8","Jumper 0402(1005)","BottomLayer","0402","-14.5800","43.4594","240","Jumper 0402 (1005 Metric)","-14.5800","43.4594","-14.3300","43.8924"
"R3","Jumper 0402(1005)","BottomLayer","0402","20.0180","73.0504","210","Jumper 0402 (1005 Metric)","20.0180","73.0504","20.4510","73.3004"
"Q2","NTR4003NT1G","BottomLayer","SOT-23-3-NTR4003NT1G","-16.8452","40.5041","60","N-Channel 30V 500mA (Ta) 690mW (Ta) Surface Mount SOT-23-3 (TO-236)","-16.4338","40.7416","-16.1111","39.4006"
"Q1","NTR4003NT1G","BottomLayer","SOT-23-3-NTR4003NT1G","21.3818","76.7677","300","N-Channel 30V 500mA (Ta) 690mW (Ta) Surface Mount SOT-23-3 (TO-236)","21.7932","76.5302","20.4705","76.9212"
"L2","CB2012T100KR","BottomLayer","0805","1.6256","23.4696","90","Inductor, 10 µH, 0.5A, 0.65 ohm, SMD","1.6256","23.4696","1.6256","22.7196"
