Altium Designer Pick and Place Locations
D:\Work\GitHub\Airzai-PCB-Design\LID Board\AIRZAI_LID_BD_REVB (28-1-2019 2-17-03 AM)\Project Outputs for AIRZAI_LID_BD_REVB\Pick Place for AIRZAI_LID_BD_REVB.txt

========================================================================================================================
File Design Information:

Date:       24/05/19
Time:       22:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                    Layer       Footprint                      Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                        Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) 
C6         C1005X5R1A104K050BA        TopLayer    SM0402_BTD.1SM_ACT_H55_CAP_WSS 35.2803      34.1884      180      "CAP, CERM, 0.1 µF, 10 V, +/- 10%, X5R, 0402"                                                                                                                                      35.8137   34.1884   35.8137   34.1884   
C5         C1005X5R1A104K050BA        TopLayer    SM0402_BTD.1SM_ACT_H55_CAP_WSS 35.2806      33.1724      180      "CAP, CERM, 0.1 µF, 10 V, +/- 10%, X5R, 0402"                                                                                                                                      35.8140   33.1724   35.8140   33.1724   
C4         C1005X5R0J475M050BC        TopLayer    SM0402_BTD.1SM_ACT_H55_CAP_WSS 35.2806      32.1564      180      "CAP, CERM, 4.7 µF, 6.3 V, +/- 20%, X5R, 0402"                                                                                                                                     35.8140   32.1564   35.8140   32.1564   
R2         ERJ-2GE0R00X               TopLayer    0402                           49.8682      46.6852      180      "RES, 0, 5%, 0.063 W, 0402"                                                                                                                                                        49.8682   46.6852   50.3682   46.6852   
R1         DNP                        TopLayer    0402                           49.8682      45.4914      180      "RES, DNP, 0402"                                                                                                                                                                   49.8682   45.4914   50.3682   45.4914   
L2         CB2012T100KR               TopLayer    0805                           63.8048      5.5118       45       "Inductor, 10 µH, 0.5A, 0.65 ohm, SMD"                                                                                                                                             63.8048   5.5118    63.2745   4.9815    
L1         CB2012T100KR               TopLayer    0805                           63.2237      2.5400       0        "Inductor, 10 µH, 0.5A, 0.65 ohm, SMD"                                                                                                                                             63.2237   2.5400    62.4737   2.5400    
J5         503480-0400                TopLayer    MOLX-503480-0400               32.7017      56.9919      150      "0.5 mm Pitch Easy-On(TM) BackFlip(TM) Type FPC Connector, 1.0 mm Mated Height, Right Angle, SMT, Dual Contact, 4 Circuits, -40 to 85 degC, ELV and RoHS Compliant, Tape and Reel" 32.3596   56.7944   32.3466   55.2719   
J4         XF2M-2015-1A-R100          TopLayer    OMRON_XF2M-2015-1A_0           53.6680      0.4952       0        XF2M-2015-1A-R100                                                                                                                                                                  53.6680   0.5452    48.9180   2.4452    
R34        "10K 1% 0402(1005)"        TopLayer    0402                           20.6120      2.3276       360      "10K 0.063W 1% 0402 (1005 Metric)  SMD"                                                                                                                                            20.6120   2.3276    20.1120   2.3276    
